State,Year,Week,ILITotal,TotalPatients
Rhode Island,2014,38,2,5842
South Carolina,2014,38,1,5261
South Dakota,2014,38,31,4638
Tennessee,2014,38,21,10375
Texas,2014,38,784,34820
Utah,2014,38,226,18141
Vermont,2014,38,39,1651
Virginia,2014,38,1128,78341
Washington,2014,38,21,3376
West Virginia,2014,38,54,10626
Wisconsin,2014,38,28,4169
Wyoming,2014,38,17,2787
Puerto Rico,2014,38,212,5484
Virgin Islands,2014,38,9,388
New York City,2014,38,1652,102282
Alabama,2014,39,136,6649
Alaska,2014,39,4,699
Arizona,2014,39,221,17775
Arkansas,2014,39,2,1382
California,2014,39,453,25356
Colorado,2014,39,13,3411
Connecticut,2014,39,6,1653
Delaware,2014,39,2,1388
District of Columbia,2014,39,140,1634
Georgia,2014,39,47,21294
Hawaii,2014,39,29,1496
Idaho,2014,39,1,666
Illinois,2014,39,801,50115
Indiana,2014,39,29,6314
Iowa,2014,39,60,32324
Kansas,2014,39,31,3501
Kentucky,2014,39,5,5516
Louisiana,2014,39,644,42924
Maine,2014,39,64,4702
Maryland,2014,39,42,2708
Massachusetts,2014,39,155,23315
Michigan,2014,39,100,12714
Minnesota,2014,39,22,3482
Mississippi,2014,39,434,16249
Missouri,2014,39,11,3979
Montana,2014,39,2,2266
Nebraska,2014,39,11,1037
Nevada,2014,39,83,14804
New Hampshire,2014,39,0,2204
New Jersey,2014,39,122,7019
New Mexico,2014,39,147,8791
New York,2014,39,108,13565
North Carolina,2014,39,56,4508
North Dakota,2014,39,0,119
Ohio,2014,39,18,10964
Oklahoma,2014,39,27,2698
Oregon,2014,39,6,1115
Pennsylvania,2014,39,151,14178
Rhode Island,2014,39,1,5908
South Carolina,2014,39,2,5147
South Dakota,2014,39,26,3566
Tennessee,2014,39,14,10351
Texas,2014,39,828,35408
Utah,2014,39,219,17885
Vermont,2014,39,22,1242
Virginia,2014,39,1221,83116
Washington,2014,39,12,3662
West Virginia,2014,39,58,11636
Wisconsin,2014,39,29,4206
Wyoming,2014,39,15,2784
Puerto Rico,2014,39,432,5964
Virgin Islands,2014,39,7,392
New York City,2014,39,1619,100770
Alabama,2014,40,220,12704
Alaska,2014,40,5,1143
Arizona,2014,40,299,29047
Arkansas,2014,40,48,4476
California,2014,40,831,43533
Colorado,2014,40,19,4069
Connecticut,2014,40,60,4027
Delaware,2014,40,1,1588
District of Columbia,2014,40,119,2034
Georgia,2014,40,95,23940
Hawaii,2014,40,134,2781
Idaho,2014,40,30,2615
Illinois,2014,40,853,57777
Indiana,2014,40,46,8943
Iowa,2014,40,82,32278
Kansas,2014,40,35,7022
Kentucky,2014,40,20,19946
Louisiana,2014,40,823,45888
Maine,2014,40,76,5836
Maryland,2014,40,107,10582
Massachusetts,2014,40,170,27489
Michigan,2014,40,51,15890
Minnesota,2014,40,42,5476
Mississippi,2014,40,453,19981
Missouri,2014,40,86,8276
Montana,2014,40,3,3112
Nebraska,2014,40,17,2696
Nevada,2014,40,65,13149
New Hampshire,2014,40,1,4285
New Jersey,2014,40,114,8111
New Mexico,2014,40,148,11009
New York,2014,40,124,17872
North Carolina,2014,40,82,14697
North Dakota,2014,40,6,1442
Ohio,2014,40,56,14259
Oklahoma,2014,40,38,2049
Oregon,2014,40,7,3132
Pennsylvania,2014,40,137,14610
Rhode Island,2014,40,3,6915
South Carolina,2014,40,15,6530
South Dakota,2014,40,47,5728
Tennessee,2014,40,23,9761
Texas,2014,40,623,38565
Utah,2014,40,200,17305
Vermont,2014,40,42,3136
Virginia,2014,40,1166,81531
Washington,2014,40,19,4282
West Virginia,2014,40,162,17738
Wisconsin,2014,40,35,4465
Wyoming,2014,40,31,5964
Puerto Rico,2014,40,397,5857
Virgin Islands,2014,40,5,355
New York City,2014,40,1613,104368
Alabama,2014,41,270,13067
Alaska,2014,41,6,1453
Arizona,2014,41,238,28645
Arkansas,2014,41,77,6180
California,2014,41,936,46366
Colorado,2014,41,15,3508
Connecticut,2014,41,67,4211
Delaware,2014,41,2,1765
District of Columbia,2014,41,116,2121
Georgia,2014,41,101,20176
Hawaii,2014,41,140,2827
Idaho,2014,41,39,3045
Illinois,2014,41,831,56141
Indiana,2014,41,76,9596
Iowa,2014,41,102,32306
Kansas,2014,41,42,6994
Kentucky,2014,41,20,22287
Louisiana,2014,41,1009,48697
Maine,2014,41,77,6120
Maryland,2014,41,105,10867
Massachusetts,2014,41,185,26203
Michigan,2014,41,44,16285
Minnesota,2014,41,42,5567
Mississippi,2014,41,528,18347
Missouri,2014,41,105,8147
Montana,2014,41,0,3426
Nebraska,2014,41,20,2697
Nevada,2014,41,66,11237
New Hampshire,2014,41,14,4972
New Jersey,2014,41,181,8337
New Mexico,2014,41,181,11644
New York,2014,41,110,18060
North Carolina,2014,41,102,15441
North Dakota,2014,41,10,1506
Ohio,2014,41,87,15101
Oklahoma,2014,41,58,2348
Oregon,2014,41,14,3345
Pennsylvania,2014,41,159,13321
Rhode Island,2014,41,10,6571
South Carolina,2014,41,15,6643
South Dakota,2014,41,45,5756
Tennessee,2014,41,49,10464
Texas,2014,41,672,38801
Utah,2014,41,230,17802
Vermont,2014,41,33,3092
Virginia,2014,41,1166,65816
Washington,2014,41,64,4404
West Virginia,2014,41,194,17677
Wisconsin,2014,41,36,4592
Wyoming,2014,41,27,5735
Puerto Rico,2014,41,210,5046
Virgin Islands,2014,41,6,368
New York City,2014,41,1621,100073
Alabama,2014,42,214,12334
Alaska,2014,42,4,1097
Arizona,2014,42,283,29182
Arkansas,2014,42,77,6351
California,2014,42,886,47088
Colorado,2014,42,18,3807
Connecticut,2014,42,62,3990
Delaware,2014,42,0,1677
District of Columbia,2014,42,95,1887
Georgia,2014,42,155,28921
Hawaii,2014,42,123,2777
Idaho,2014,42,51,3441
Illinois,2014,42,929,56597
Indiana,2014,42,59,8575
Iowa,2014,42,95,34531
Kansas,2014,42,55,6285
Kentucky,2014,42,11,22832
Louisiana,2014,42,1307,49611
Maine,2014,42,68,5965
Maryland,2014,42,93,10851
Massachusetts,2014,42,178,22682
Michigan,2014,42,67,16997
Minnesota,2014,42,46,5156
Mississippi,2014,42,441,17749
Missouri,2014,42,116,8259
Montana,2014,42,2,3345
Nebraska,2014,42,26,3039
Nevada,2014,42,73,13233
New Hampshire,2014,42,3,4920
New Jersey,2014,42,173,10749
New Mexico,2014,42,194,10198
New York,2014,42,138,17958
North Carolina,2014,42,73,14788
North Dakota,2014,42,12,1491
Ohio,2014,42,80,16215
Oklahoma,2014,42,53,3879
Oregon,2014,42,28,4893
Pennsylvania,2014,42,166,16363
Rhode Island,2014,42,14,5794
South Carolina,2014,42,37,6612
South Dakota,2014,42,51,6041
Tennessee,2014,42,47,8662
Texas,2014,42,761,38512
Utah,2014,42,243,18791
Vermont,2014,42,32,2446
Virginia,2014,42,1280,68315
Washington,2014,42,38,4912
West Virginia,2014,42,174,18019
Wisconsin,2014,42,46,4565
Wyoming,2014,42,33,6441
Puerto Rico,2014,42,577,5691
Virgin Islands,2014,42,7,388
New York City,2014,42,1742,100172
Alabama,2014,43,246,13379
Alaska,2014,43,22,1423
Arizona,2014,43,289,31010
Arkansas,2014,43,83,5745
California,2014,43,873,47395
Colorado,2014,43,17,3858
Connecticut,2014,43,56,3838
Delaware,2014,43,0,1734
District of Columbia,2014,43,95,1678
Georgia,2014,43,195,28684
Hawaii,2014,43,124,2797
Idaho,2014,43,27,3128
Illinois,2014,43,899,56302
Indiana,2014,43,65,8600
Iowa,2014,43,96,33391
Kansas,2014,43,67,7259
Kentucky,2014,43,38,23157
Louisiana,2014,43,1161,46105
Maine,2014,43,59,6087
Maryland,2014,43,123,12850
Massachusetts,2014,43,163,26929
Michigan,2014,43,75,16905
Minnesota,2014,43,44,5139
Mississippi,2014,43,550,19175
Missouri,2014,43,112,8443
Montana,2014,43,4,3150
Nebraska,2014,43,14,2637
Nevada,2014,43,58,13306
New Hampshire,2014,43,5,4930
New Jersey,2014,43,207,11120
New Mexico,2014,43,179,10776
New York,2014,43,160,18337
North Carolina,2014,43,133,16852
North Dakota,2014,43,9,1399
Ohio,2014,43,103,16998
Oklahoma,2014,43,43,3991
Oregon,2014,43,30,4203
Pennsylvania,2014,43,195,16661
Rhode Island,2014,43,7,7040
South Carolina,2014,43,38,5949
South Dakota,2014,43,63,5744
Tennessee,2014,43,83,10556
Texas,2014,43,860,39582
Utah,2014,43,234,15450
Vermont,2014,43,40,3765
Virginia,2014,43,1291,75787
Washington,2014,43,30,4834
West Virginia,2014,43,199,18382
Wisconsin,2014,43,146,7557
Wyoming,2014,43,50,5894
Puerto Rico,2014,43,547,5898
Virgin Islands,2014,43,13,387
New York City,2014,43,1727,100131
Alabama,2014,44,253,11944
Alaska,2014,44,21,1162
Arizona,2014,44,272,28966
Arkansas,2014,44,86,5887
California,2014,44,844,44750
Colorado,2014,44,20,4018
Connecticut,2014,44,96,4641
Delaware,2014,44,1,1858
District of Columbia,2014,44,137,2156
Georgia,2014,44,182,23653
Hawaii,2014,44,117,2609
Idaho,2014,44,32,3377
Illinois,2014,44,979,56032
Indiana,2014,44,66,9501
Iowa,2014,44,117,34072
Kansas,2014,44,47,6016
Kentucky,2014,44,17,25119
Louisiana,2014,44,1206,47393
Maine,2014,44,63,6149
Maryland,2014,44,133,11803
Massachusetts,2014,44,197,26607
Michigan,2014,44,93,18819
Minnesota,2014,44,45,5444
Mississippi,2014,44,483,19643
Missouri,2014,44,52,5483
Montana,2014,44,4,3363
Nebraska,2014,44,11,2619
Nevada,2014,44,70,12434
New Hampshire,2014,44,14,5187
New Jersey,2014,44,168,10659
New Mexico,2014,44,150,11388
New York,2014,44,178,18702
North Carolina,2014,44,160,17330
North Dakota,2014,44,9,1325
Ohio,2014,44,87,16269
Oklahoma,2014,44,59,4200
Oregon,2014,44,47,4529
Pennsylvania,2014,44,170,15697
Rhode Island,2014,44,11,7133
South Carolina,2014,44,47,6117
South Dakota,2014,44,38,5389
Tennessee,2014,44,87,10380
Texas,2014,44,861,37957
Utah,2014,44,270,17004
Vermont,2014,44,52,3787
Virginia,2014,44,1262,73683
Washington,2014,44,26,4301
West Virginia,2014,44,194,17555
Wisconsin,2014,44,171,7674
Wyoming,2014,44,26,6035
Puerto Rico,2014,44,344,5558
Virgin Islands,2014,44,12,403
New York City,2014,44,1798,100199
Alabama,2014,45,274,10902
Alaska,2014,45,37,1188
Arizona,2014,45,325,30083
Arkansas,2014,45,100,6085
California,2014,45,1048,47003
Colorado,2014,45,15,2693
Connecticut,2014,45,103,4531
Delaware,2014,45,2,2013
District of Columbia,2014,45,164,2270
Georgia,2014,45,296,23352
Hawaii,2014,45,147,2809
Idaho,2014,45,74,3488
Illinois,2014,45,1109,56714
Indiana,2014,45,79,9529
Iowa,2014,45,98,33959
Kansas,2014,45,71,6974
Kentucky,2014,45,34,20536
Louisiana,2014,45,1421,46576
Maine,2014,45,61,5864
Maryland,2014,45,127,13722
Massachusetts,2014,45,266,28183
Michigan,2014,45,119,18299
Minnesota,2014,45,43,5195
Mississippi,2014,45,622,19828
Missouri,2014,45,80,7636
Montana,2014,45,6,3190
Nebraska,2014,45,7,2382
Nevada,2014,45,71,13032
New Hampshire,2014,45,15,5013
New Jersey,2014,45,170,10563
New Mexico,2014,45,187,10680
New York,2014,45,210,18988
North Carolina,2014,45,169,17417
North Dakota,2014,45,5,888
Ohio,2014,45,95,17226
Oklahoma,2014,45,21,1519
Oregon,2014,45,21,4678
Pennsylvania,2014,45,204,17188
Rhode Island,2014,45,13,6273
South Carolina,2014,45,61,6292
South Dakota,2014,45,52,5864
Tennessee,2014,45,109,10587
Texas,2014,45,885,38221
Utah,2014,45,259,17103
Vermont,2014,45,46,4008
Virginia,2014,45,1282,75131
Washington,2014,45,26,4218
West Virginia,2014,45,188,17763
Wisconsin,2014,45,181,7614
Wyoming,2014,45,33,5448
Puerto Rico,2014,45,514,4847
Virgin Islands,2014,45,25,365
New York City,2014,45,1884,100622
Alabama,2014,46,510,12894
Alaska,2014,46,42,1334
Arizona,2014,46,318,28244
Arkansas,2014,46,89,5797
California,2014,46,858,38684
Colorado,2014,46,15,3561
Connecticut,2014,46,75,3546
Delaware,2014,46,1,1755
District of Columbia,2014,46,150,2526
Georgia,2014,46,402,23369
Hawaii,2014,46,143,2752
Idaho,2014,46,52,3164
Illinois,2014,46,1212,55943
Indiana,2014,46,95,9221
Iowa,2014,46,79,34150
Kansas,2014,46,82,6903
Kentucky,2014,46,45,22787
Louisiana,2014,46,1624,49023
Maine,2014,46,72,5360
Maryland,2014,46,111,12975
Massachusetts,2014,46,248,28137
Michigan,2014,46,103,18745
Minnesota,2014,46,43,5548
Mississippi,2014,46,614,19434
Missouri,2014,46,118,7302
Montana,2014,46,4,2884
Nebraska,2014,46,18,2629
Nevada,2014,46,103,12653
New Hampshire,2014,46,12,4960
New Jersey,2014,46,194,11006
New Mexico,2014,46,136,10762
New York,2014,46,191,17205
North Carolina,2014,46,154,16110
North Dakota,2014,46,3,889
Ohio,2014,46,102,16272
Oklahoma,2014,46,78,3645
Oregon,2014,46,21,4177
Pennsylvania,2014,46,217,17864
Rhode Island,2014,46,18,6607
South Carolina,2014,46,63,6517
South Dakota,2014,46,44,5480
Tennessee,2014,46,99,10304
Texas,2014,46,765,34103
Utah,2014,46,337,18687
Vermont,2014,46,38,3985
Virginia,2014,46,1363,77764
Washington,2014,46,34,4491
West Virginia,2014,46,213,17827
Wisconsin,2014,46,163,7354
Wyoming,2014,46,39,5406
Puerto Rico,2014,46,420,4899
Virgin Islands,2014,46,18,423
New York City,2014,46,1695,95652
Alabama,2014,47,693,12156
Alaska,2014,47,41,1400
Arizona,2014,47,325,29255
Arkansas,2014,47,89,6144
California,2014,47,1176,47232
Colorado,2014,47,6,2966
Connecticut,2014,47,51,2948
Delaware,2014,47,1,1795
District of Columbia,2014,47,130,1808
Georgia,2014,47,740,25584
Hawaii,2014,47,112,2953
Idaho,2014,47,73,3329
Illinois,2014,47,1378,53968
Indiana,2014,47,176,9422
Iowa,2014,47,120,35059
Kansas,2014,47,130,7130
Kentucky,2014,47,69,23282
Louisiana,2014,47,1747,39746
Maine,2014,47,42,6142
Maryland,2014,47,137,7771
Massachusetts,2014,47,265,28249
Michigan,2014,47,92,16326
Minnesota,2014,47,63,4461
Mississippi,2014,47,787,18427
Missouri,2014,47,55,5013
Montana,2014,47,4,3154
Nebraska,2014,47,19,2809
Nevada,2014,47,107,13536
New Hampshire,2014,47,11,4882
New Jersey,2014,47,227,10611
New Mexico,2014,47,177,10923
New York,2014,47,259,18738
North Carolina,2014,47,169,18143
North Dakota,2014,47,6,1544
Ohio,2014,47,73,14978
Oklahoma,2014,47,37,3266
Oregon,2014,47,19,4044
Pennsylvania,2014,47,223,15579
Rhode Island,2014,47,9,6408
South Carolina,2014,47,48,6427
South Dakota,2014,47,63,5944
Tennessee,2014,47,93,10983
Texas,2014,47,1556,37915
Utah,2014,47,343,17461
Vermont,2014,47,47,3770
Virginia,2014,47,1411,70860
Washington,2014,47,35,4219
West Virginia,2014,47,168,17662
Wisconsin,2014,47,168,7728
Wyoming,2014,47,41,6051
Puerto Rico,2014,47,521,4896
Virgin Islands,2014,47,19,395
New York City,2014,47,1753,93019
Alabama,2014,48,600,8262
Alaska,2014,48,26,1084
Arizona,2014,48,272,20181
Arkansas,2014,48,65,3758
California,2014,48,840,30801
Colorado,2014,48,10,3209
Connecticut,2014,48,35,2076
Delaware,2014,48,2,1232
District of Columbia,2014,48,89,926
Georgia,2014,48,590,14835
Hawaii,2014,48,96,2484
Idaho,2014,48,70,2998
Illinois,2014,48,1810,47624
Indiana,2014,48,126,5442
Iowa,2014,48,96,24548
Kansas,2014,48,107,4820
Kentucky,2014,48,68,20561
Louisiana,2014,48,2747,46550
Maine,2014,48,58,4017
Maryland,2014,48,137,8009
Massachusetts,2014,48,211,19338
Michigan,2014,48,117,13029
Minnesota,2014,48,54,4148
Mississippi,2014,48,930,18819
Missouri,2014,48,152,5626
Montana,2014,48,3,2318
Nebraska,2014,48,18,2063
Nevada,2014,48,190,10554
New Hampshire,2014,48,3,3323
New Jersey,2014,48,142,7365
New Mexico,2014,48,161,8936
New York,2014,48,218,11804
North Carolina,2014,48,220,10677
North Dakota,2014,48,4,1240
Ohio,2014,48,68,11751
Oklahoma,2014,48,65,2991
Oregon,2014,48,24,4009
Pennsylvania,2014,48,246,10892
Rhode Island,2014,48,5,4359
South Carolina,2014,48,46,4354
South Dakota,2014,48,44,4449
Tennessee,2014,48,78,6489
Texas,2014,48,1390,29788
Utah,2014,48,402,15247
Vermont,2014,48,47,2570
Virginia,2014,48,1551,64884
Washington,2014,48,23,2621
West Virginia,2014,48,186,13142
Wisconsin,2014,48,86,4918
Wyoming,2014,48,62,5033
Puerto Rico,2014,48,550,5068
Virgin Islands,2014,48,13,406
New York City,2014,48,1849,88295
Alabama,2014,49,447,8916
Alaska,2014,49,30,1412
Arizona,2014,49,385,29548
Arkansas,2014,49,153,6050
California,2014,49,1129,46859
Colorado,2014,49,31,3164
Connecticut,2014,49,105,5985
Delaware,2014,49,5,1778
District of Columbia,2014,49,183,1564
Georgia,2014,49,854,18426
Hawaii,2014,49,123,2635
Idaho,2014,49,73,2986
Illinois,2014,49,2687,59675
Indiana,2014,49,342,9911
Iowa,2014,49,135,36133
Kansas,2014,49,152,6833
Kentucky,2014,49,203,21531
Louisiana,2014,49,2805,51099
Maine,2014,49,70,5918
Maryland,2014,49,237,12529
Massachusetts,2014,49,283,28114
Michigan,2014,49,169,18050
Minnesota,2014,49,80,4685
Mississippi,2014,49,1323,22390
Missouri,2014,49,205,8169
Montana,2014,49,1,3664
Nebraska,2014,49,32,2832
Nevada,2014,49,173,13707
New Hampshire,2014,49,7,4456
New Jersey,2014,49,215,10575
New Mexico,2014,49,209,11163
New York,2014,49,259,18325
North Carolina,2014,49,313,17287
North Dakota,2014,49,8,1184
Ohio,2014,49,177,17072
Oklahoma,2014,49,119,4672
Oregon,2014,49,52,4074
Pennsylvania,2014,49,290,16466
Rhode Island,2014,49,19,7069
South Carolina,2014,49,91,6581
South Dakota,2014,49,51,5893
Tennessee,2014,49,225,10744
Texas,2014,49,2030,41320
Utah,2014,49,494,18436
Vermont,2014,49,58,3575
Virginia,2014,49,1908,77415
Washington,2014,49,47,4770
West Virginia,2014,49,282,17010
Wisconsin,2014,49,179,7232
Wyoming,2014,49,81,6067
Puerto Rico,2014,49,439,6171
Virgin Islands,2014,49,16,418
New York City,2014,49,2324,103684
Alabama,2014,50,1216,12031
Alaska,2014,50,23,1383
Arizona,2014,50,425,27362
Arkansas,2014,50,262,5954
California,2014,50,1151,44658
Colorado,2014,50,46,3588
Connecticut,2014,50,66,4210
Delaware,2014,50,2,1795
District of Columbia,2014,50,158,1620
Georgia,2014,50,1297,23628
Hawaii,2014,50,129,2701
Idaho,2014,50,113,3217
Illinois,2014,50,3463,60819
Indiana,2014,50,543,9640
Iowa,2014,50,280,35259
Kansas,2014,50,351,7456
Kentucky,2014,50,303,17470
Louisiana,2014,50,2748,48932
Maine,2014,50,77,5172
Maryland,2014,50,282,11826
Massachusetts,2014,50,346,27449
Michigan,2014,50,365,17908
Minnesota,2014,50,250,5508
Mississippi,2014,50,1535,21287
Missouri,2014,50,436,8077
Montana,2014,50,19,3336
Nebraska,2014,50,37,2655
Nevada,2014,50,191,13388
New Hampshire,2014,50,6,4420
New Jersey,2014,50,231,10235
New Mexico,2014,50,255,11870
New York,2014,50,267,16224
North Carolina,2014,50,502,16789
North Dakota,2014,50,29,1393
Ohio,2014,50,354,17884
Oklahoma,2014,50,224,3923
Oregon,2014,50,34,3546
Pennsylvania,2014,50,424,15406
Rhode Island,2014,50,33,6696
South Carolina,2014,50,97,6203
South Dakota,2014,50,81,5660
Tennessee,2014,50,341,10639
Texas,2014,50,2414,26913
Utah,2014,50,632,18746
Vermont,2014,50,66,3275
Virginia,2014,50,2868,83792
Washington,2014,50,58,4571
West Virginia,2014,50,349,17069
Wisconsin,2014,50,313,7580
Wyoming,2014,50,108,6548
Puerto Rico,2014,50,465,4896
Virgin Islands,2014,50,15,375
New York City,2014,50,2385,99713
Alabama,2014,51,1830,11937
Alaska,2014,51,26,987
Arizona,2014,51,446,26097
Arkansas,2014,51,525,6199
California,2014,51,1171,40328
Colorado,2014,51,63,3516
Connecticut,2014,51,43,2782
Delaware,2014,51,12,1816
District of Columbia,2014,51,204,1571
Georgia,2014,51,1615,25710
Hawaii,2014,51,187,2730
Idaho,2014,51,157,3152
Illinois,2014,51,3569,59727
Indiana,2014,51,590,8376
Iowa,2014,51,302,37250
Kansas,2014,51,529,6529
Kentucky,2014,51,737,24693
Louisiana,2014,51,3212,46113
Maine,2014,51,74,5719
Maryland,2014,51,438,12817
Massachusetts,2014,51,392,27230
Michigan,2014,51,464,16080
Minnesota,2014,51,302,5279
Mississippi,2014,51,2226,21553
Missouri,2014,51,461,7499
Montana,2014,51,16,2950
Nebraska,2014,51,67,2599
Nevada,2014,51,234,12995
New Hampshire,2014,51,13,4594
New Jersey,2014,51,340,10246
New Mexico,2014,51,430,11325
New York,2014,51,398,15017
North Carolina,2014,51,688,14986
North Dakota,2014,51,45,1225
Ohio,2014,51,546,16267
Oklahoma,2014,51,189,4253
Oregon,2014,51,25,3125
Pennsylvania,2014,51,676,15262
Rhode Island,2014,51,31,6409
South Carolina,2014,51,242,5295
South Dakota,2014,51,104,5634
Tennessee,2014,51,349,7682
Texas,2014,51,2595,20058
Utah,2014,51,763,18634
Vermont,2014,51,72,3292
Virginia,2014,51,4704,86326
Washington,2014,51,80,3977
West Virginia,2014,51,661,16510
Wisconsin,2014,51,428,7423
Wyoming,2014,51,136,6097
Puerto Rico,2014,51,445,4578
Virgin Islands,2014,51,21,356
New York City,2014,51,2673,103828
Alabama,2014,52,1714,8827
Alaska,2014,52,22,938
Arizona,2014,52,313,14656
Arkansas,2014,52,336,3192
California,2014,52,1048,23407
Colorado,2014,52,105,3250
Connecticut,2014,52,65,3160
Delaware,2014,52,14,1205
District of Columbia,2014,52,108,792
Georgia,2014,52,1719,22002
Hawaii,2014,52,210,2025
Idaho,2014,52,190,2924
Illinois,2014,52,2308,41250
Indiana,2014,52,466,5198
Iowa,2014,52,224,24244
Kansas,2014,52,413,4787
Kentucky,2014,52,665,20274
Louisiana,2014,52,3473,47680
Maine,2014,52,68,3568
Maryland,2014,52,320,6958
Massachusetts,2014,52,400,17549
Michigan,2014,52,553,11213
Minnesota,2014,52,251,3197
Mississippi,2014,52,2359,20410
Missouri,2014,52,471,5515
Montana,2014,52,28,1892
Nebraska,2014,52,89,1806
Nevada,2014,52,342,10457
New Hampshire,2014,52,7,2743
New Jersey,2014,52,301,6942
New Mexico,2014,52,637,9575
New York,2014,52,592,9567
North Carolina,2014,52,632,7305
North Dakota,2014,52,60,1396
Ohio,2014,52,835,11989
Oklahoma,2014,52,109,2204
Oregon,2014,52,24,1933
Pennsylvania,2014,52,756,10753
Rhode Island,2014,52,48,3442
South Carolina,2014,52,251,3646
South Dakota,2014,52,120,3975
Tennessee,2014,52,398,4955
Texas,2014,52,1242,16144
Utah,2014,52,963,16255
Vermont,2014,52,63,2255
Virginia,2014,52,9716,98396
Washington,2014,52,47,1875
West Virginia,2014,52,870,12839
Wisconsin,2014,52,270,3713
Wyoming,2014,52,119,4551
Puerto Rico,2014,52,504,5457
Virgin Islands,2014,52,6,382
New York City,2014,52,3079,93552
Alabama,2014,53,1008,8983
Alaska,2014,53,23,972
Arizona,2014,53,424,15954
Arkansas,2014,53,191,3819
California,2014,53,1284,26911
Colorado,2014,53,89,1895
Connecticut,2014,53,34,1955
Delaware,2014,53,31,1871
District of Columbia,2014,53,68,459
Georgia,2014,53,570,24062
Hawaii,2014,53,287,2075
Idaho,2014,53,251,3145
Illinois,2014,53,2035,47036
Indiana,2014,53,273,5216
Iowa,2014,53,211,26779
Kansas,2014,53,466,5304
Kentucky,2014,53,663,19204
Louisiana,2014,53,3122,47161
Maine,2014,53,87,4492
Maryland,2014,53,467,7860
Massachusetts,2014,53,383,19037
Michigan,2014,53,455,11120
Minnesota,2014,53,216,3775
Mississippi,2014,53,1641,20279
Missouri,2014,53,461,6040
Montana,2014,53,20,2027
Nebraska,2014,53,76,2145
Nevada,2014,53,462,11241
New Hampshire,2014,53,25,3464
New Jersey,2014,53,274,7298
New Mexico,2014,53,583,10371
New York,2014,53,418,9187
North Carolina,2014,53,695,9080
North Dakota,2014,53,60,1482
Ohio,2014,53,593,11942
Oklahoma,2014,53,134,2001
Oregon,2014,53,33,2372
Pennsylvania,2014,53,625,9856
Rhode Island,2014,53,48,3956
South Carolina,2014,53,229,4217
South Dakota,2014,53,161,5700
Tennessee,2014,53,428,6310
Texas,2014,53,1684,14873
Utah,2014,53,1064,18298
Vermont,2014,53,111,2205
Virginia,2014,53,8577,98934
Washington,2014,53,44,1384
West Virginia,2014,53,1116,15135
Wisconsin,2014,53,246,4486
Wyoming,2014,53,150,4760
Puerto Rico,2014,53,483,5359
Virgin Islands,2014,53,4,431
New York City,2014,53,3269,94559
Alabama,2015,1,525,9670
Alaska,2015,1,11,1128
Arizona,2015,1,639,24043
Arkansas,2015,1,321,6068
California,2015,1,1865,46662
Colorado,2015,1,134,3762
Connecticut,2015,1,62,2723
Delaware,2015,1,29,2140
District of Columbia,2015,1,181,1431
Georgia,2015,1,762,24453
Hawaii,2015,1,335,2794
Idaho,2015,1,214,3796
Illinois,2015,1,1397,45457
Indiana,2015,1,239,7011
Iowa,2015,1,104,2590
Kansas,2015,1,397,6271
Kentucky,2015,1,494,20906
Louisiana,2015,1,2127,44525
Maine,2015,1,129,5764
Maryland,2015,1,346,12406
Massachusetts,2015,1,468,26555
Michigan,2015,1,391,16631
Minnesota,2015,1,163,4474
Mississippi,2015,1,1103,19785
Missouri,2015,1,333,7620
Montana,2015,1,43,3059
Nebraska,2015,1,81,2869
Nevada,2015,1,486,12364
New Hampshire,2015,1,49,4413
New Jersey,2015,1,343,9467
New Mexico,2015,1,509,12819
New York,2015,1,370,8795
North Carolina,2015,1,567,14960
North Dakota,2015,1,69,2043
Ohio,2015,1,480,13987
Oklahoma,2015,1,192,3263
Oregon,2015,1,63,4123
Pennsylvania,2015,1,558,12447
Rhode Island,2015,1,99,5084
South Carolina,2015,1,150,4898
South Dakota,2015,1,155,6130
Tennessee,2015,1,560,9649
Texas,2015,1,1776,19587
Utah,2015,1,900,21202
Vermont,2015,1,108,3480
Virginia,2015,1,5679,87494
Washington,2015,1,158,4339
West Virginia,2015,1,964,15690
Wisconsin,2015,1,221,5955
Wyoming,2015,1,152,5880
Puerto Rico,2015,1,458,4910
Virgin Islands,2015,1,3,366
New York City,2015,1,3029,101659
Alabama,2015,2,886,10737
Alaska,2015,2,11,1066
Arizona,2015,2,674,20932
Arkansas,2015,2,378,5084
California,2015,2,2065,47675
Colorado,2015,2,100,3529
Connecticut,2015,2,127,4085
Delaware,2015,2,130,3243
District of Columbia,2015,2,196,1808
Georgia,2015,2,480,22534
Hawaii,2015,2,438,2713
Idaho,2015,2,196,3276
Illinois,2015,2,1120,48417
Indiana,2015,2,280,8459
Iowa,2015,2,60,2507
Kansas,2015,2,410,6816
Kentucky,2015,2,288,22006
Louisiana,2015,2,2028,42261
Maine,2015,2,178,5893
Maryland,2015,2,291,11356
Massachusetts,2015,2,674,27312
Michigan,2015,2,366,17480
Minnesota,2015,2,160,4946
Mississippi,2015,2,1000,19029
Missouri,2015,2,285,8465
Montana,2015,2,59,3410
Nebraska,2015,2,71,2795
Nevada,2015,2,468,13679
New Hampshire,2015,2,49,4768
New Jersey,2015,2,339,10141
New Mexico,2015,2,500,12156
New York,2015,2,526,9757
North Carolina,2015,2,591,15955
North Dakota,2015,2,170,2221
